# GT-EV-Testbed UART telemetry + drive log
# session_start_ms,4005
# master_id,101,slave_id,102
# poll_ms=125,drive=PPM D6/D10
millis_ms,esc_id,vbat_v,rpm,motor_a,input_a,duty,fet_c,motor_c,fault,thr_us,str_us,mst_ppm_us,slv_ppm_us
13663,102,3.640,0,0.0000,0.0000,-0.14940,25.9,-60.0,8,1500,1500,1500,1500
13754,102,3.630,0,0.0000,0.0000,-0.14610,25.9,-60.0,8,1500,1500,1500,1500
13801,102,3.640,0,0.0000,0.0000,-0.14980,25.9,-60.0,8,1500,1500,1500,1500
13892,102,3.630,0,0.0000,0.0000,-0.14570,25.9,-60.0,8,1500,1500,1500,1500
13940,102,3.640,0,0.0000,0.0000,-0.15050,25.9,-60.0,8,1500,1500,1500,1500
14033,102,3.630,0,0.0000,0.0000,-0.14850,25.9,-60.0,8,1500,1500,1500,1500
14094,102,3.640,0,0.0000,0.0000,-0.15010,25.9,-60.0,8,1500,1500,1500,1500
14287,102,3.630,0,0.0000,0.0000,-0.14230,25.9,-60.0,8,1500,1500,1500,1500
14341,102,3.640,0,0.0000,0.0000,-0.14980,25.9,-60.0,8,1500,1500,1500,1500
14436,102,3.620,0,0.0000,0.0000,-0.14670,25.9,-60.0,8,1500,1500,1500,1500
14482,102,3.640,0,0.0000,0.0000,-0.14910,25.9,-60.0,8,1500,1500,1500,1500
14575,102,3.630,0,0.0000,0.0000,-0.14730,25.9,-60.0,8,1500,1500,1500,1500
14621,102,3.650,0,0.0000,0.0000,-0.14990,25.9,-60.0,8,1500,1500,1500,1500
14734,102,3.620,0,0.0000,0.0000,-0.14270,25.9,-60.0,8,1500,1500,1500,1500
14780,102,3.640,0,0.0000,0.0000,-0.14890,25.9,-60.0,8,1500,1500,1500,1500
14871,102,3.630,0,0.0000,0.0000,-0.14680,25.9,-60.0,8,1500,1500,1500,1500
14918,102,3.640,0,0.0000,0.0000,-0.14950,25.9,-60.0,8,1500,1500,1500,1500
15009,102,3.630,0,0.0000,0.0000,-0.14350,25.9,-60.0,8,1500,1500,1500,1500
15055,102,3.650,0,0.0000,0.0000,-0.14690,25.9,-60.0,8,1500,1500,1500,1500
